01 02 03 04 05
01 02 03 09 17
01 02 03 11 18
01 02 03 11 22
01 02 03 13 23
01 02 03 15 19
01 02 03 20 25
01 02 04 05 17
01 02 04 06 15
01 02 04 06 25
01 02 04 13 18
01 02 04 15 16
01 02 04 16 23
01 02 04 20 21
01 02 04 24 27
01 02 05 07 22
01 02 05 08 16
01 02 05 12 20
01 02 05 16 24
01 02 05 16 25
01 02 05 19 21
01 02 06 07 08
01 02 06 09 26
01 02 06 10 11
01 02 06 12 19
01 02 06 13 27
01 02 06 14 18
01 02 06 17 26
01 02 07 08 09
01 02 07 08 11
01 02 07 09 27
01 02 07 10 16
01 02 07 21 25
01 02 08 09 15
01 02 08 12 13
01 02 08 14 26
01 02 08 16 22
01 02 08 17 19
01 02 08 17 22
01 02 09 10 11
01 02 09 13 15
01 02 09 14 25
01 02 10 13 22
01 02 10 15 27
01 02 10 15 26
01 02 11 13 26
01 02 11 15 17
01 02 11 15 24
01 02 11 21 24
01 02 12 13 14
01 02 12 15 22
01 02 12 17 20
01 02 12 18 27
01 02 12 18 26
01 02 13 16 18
01 02 13 18 19
01 02 14 17 21
01 02 14 23 24
01 02 15 16 17
01 02 16 20 24
01 02 17 23 27
01 02 17 23 25
01 02 18 19 20
01 02 19 20 23
01 02 21 22 23
01 02 24 25 26
01 03 04 06 20
01 03 04 07 17
01 03 04 08 15
01 03 04 11 12
01 03 05 08 22
01 03 05 09 18
01 03 05 14 27
01 03 05 16 26
01 03 05 22 24
01 03 06 09 12
01 03 06 10 12
01 03 06 11 19
01 03 06 15 16
01 03 06 18 22
01 03 06 18 26
01 03 07 08 27
01 03 07 09 20
01 03 07 10 13
01 03 07 18 25
01 03 07 21 27
01 03 07 23 24
01 03 08 11 14
01 03 08 21 23
01 03 08 23 25
01 03 09 16 27
01 03 09 19 26
01 03 09 21 24
01 03 10 12 19
01 03 10 15 20
01 03 10 17 24
01 03 10 18 24
01 03 10 23 27
01 03 11 13 14
01 03 11 14 16
01 03 11 21 25
01 03 12 13 20
01 03 12 16 21
01 03 13 17 22
01 03 13 20 26
01 03 13 24 27
01 03 14 22 25
01 03 15 18 21
01 03 16 19 22
01 03 17 20 27
01 03 17 20 23
01 03 21 22 26
01 04 05 06 08
01 04 05 06 13
01 04 05 10 21
01 04 05 11 19
01 04 05 15 24
01 04 05 16 27
01 04 05 17 19
01 04 05 18 21
01 04 06 08 09
01 04 06 10 14
01 04 06 18 22
01 04 07 09 15
01 04 07 11 19
01 04 07 12 27
01 04 07 15 17
01 04 07 17 24
01 04 07 23 26
01 04 08 09 25
01 04 08 10 21
01 04 08 12 16
01 04 09 10 22
01 04 09 12 26
01 04 09 13 25
01 04 10 11 23
01 04 10 17 27
01 04 10 17 18
01 04 10 19 24
01 04 10 24 27
01 04 11 13 17
01 04 11 14 17
01 04 11 14 24
01 04 11 18 25
01 04 11 22 23
01 04 12 14 15
01 04 12 23 25
01 04 13 16 27
01 04 13 16 22
01 04 13 21 22
01 04 14 16 20
01 04 14 21 26
01 04 15 19 20
01 04 16 18 27
01 04 18 22 24
01 04 19 21 25
01 04 20 22 25
01 04 20 26 27
01 04 21 22 27
01 05 06 07 21
01 05 06 08 23
01 05 06 09 19
01 05 06 11 15
01 05 06 12 14
01 05 06 13 18
01 05 07 10 22
01 05 07 11 24
01 05 07 12 17
01 05 07 13 27
01 05 07 14 15
01 05 07 19 20
01 05 07 23 26
01 05 08 09 13
01 05 08 14 25
01 05 08 26 27
01 05 09 13 19
01 05 09 22 26
01 05 09 23 26
01 05 10 11 12
01 05 10 12 24
01 05 10 16 18
01 05 11 12 21
01 05 11 13 14
01 05 11 14 20
01 05 11 15 16
01 05 11 18 20
01 05 12 16 22
01 05 12 20 27
01 05 13 15 20
01 05 14 17 26
01 05 14 19 23
01 05 14 22 23
01 05 15 17 25
01 05 15 18 23
01 05 17 21 27
01 05 20 21 24
01 05 22 25 27
01 06 07 11 25
01 06 07 16 27
01 06 07 16 19
01 06 07 18 20
01 06 07 22 26
01 06 08 15 21
01 06 08 17 20
01 06 08 22 25
01 06 09 10 20
01 06 09 13 24
01 06 09 20 23
01 06 10 13 20
01 06 10 18 21
01 06 10 22 25
01 06 10 24 25
01 06 10 25 26
01 06 11 24 26
01 06 12 14 21
01 06 12 23 25
01 06 13 14 19
01 06 13 16 20
01 06 13 21 26
01 06 14 16 17
01 06 14 17 22
01 06 14 21 24
01 06 14 22 27
01 06 14 23 25
01 06 15 17 23
01 06 15 17 25
01 06 15 21 27
01 06 16 22 24
01 06 17 18 25
01 06 18 24 26
01 06 19 23 26
01 06 19 24 27
01 06 20 21 26
01 07 08 10 14
01 07 08 13 19
01 07 08 14 19
01 07 08 16 25
01 07 08 22 23
01 07 09 11 26
01 07 09 12 13
01 07 09 17 22
01 07 10 11 19
01 07 10 15 17
01 07 10 23 25
01 07 11 16 18
01 07 11 16 21
01 07 11 17 24
01 07 11 20 27
01 07 12 13 14
01 07 12 14 23
01 07 12 15 26
01 07 12 22 24
01 07 13 24 25
01 07 14 15 17
01 07 14 16 19
01 07 14 16 22
01 07 14 18 26
01 07 14 20 21
01 07 15 16 23
01 07 15 18 24
01 07 17 18 21
01 07 17 20 24
01 07 19 21 26
01 08 09 10 25
01 08 09 18 23
01 08 09 20 25
