01 02 03 04 05 06
01 02 03 05 07 12
01 02 03 06 10 18
01 02 03 08 16 23
01 02 03 23 26 28
01 02 04 10 22 28
01 02 04 10 24 32
01 02 05 10 17 31
01 02 05 13 20 24
01 02 05 17 24 26
01 02 06 11 21 24
01 02 07 14 25 27
01 02 08 15 19 31
01 02 08 18 29 30
01 02 09 17 22 23
01 02 09 26 27 31
01 02 10 12 19 22
01 02 10 16 17 21
01 02 11 15 24 28
01 02 12 20 27 29
01 02 13 17 25 29
01 02 13 21 30 32
01 02 15 19 26 30
01 02 16 18 22 29
01 02 17 19 25 29
01 03 04 16 24 25
01 03 04 19 24 26
01 03 04 20 27 31
01 03 05 14 21 22
01 03 07 15 23 29
01 03 07 17 31 32
01 03 08 11 13 26
01 03 08 11 19 20
01 03 09 12 25 27
01 03 09 16 20 31
01 03 10 17 24 28
01 03 10 22 27 30
01 03 11 14 20 30
01 03 11 24 29 32
01 03 13 15 17 22
01 03 14 18 19 28
01 03 16 17 18 23
01 03 18 19 27 31
01 03 22 23 25 31
01 04 05 07 14 31
01 04 05 12 15 30
01 04 06 07 15 20
01 04 07 21 23 31
01 04 08 12 16 32
01 04 08 14 18 22
01 04 09 14 21 28
01 04 09 15 23 32
01 04 10 11 13 29
01 04 11 12 13 22
01 04 11 16 25 28
01 04 11 19 27 30
01 04 11 20 25 32
01 04 12 17 24 29
01 04 13 18 19 27
01 04 16 17 26 30
01 05 06 11 16 30
01 05 06 16 27 28
01 05 07 20 21 22
01 05 08 09 18 24
01 05 08 11 13 21
01 05 08 17 28 32
01 05 08 18 26 28
01 05 09 15 16 19
01 05 10 12 14 26
01 05 10 19 25 29
01 05 12 15 23 32
01 05 13 23 25 27
01 05 13 24 26 31
01 05 14 18 21 29
01 05 18 25 26 32
01 05 19 23 27 28
01 06 07 12 18 28
01 06 07 13 14 24
01 06 07 18 23 27
01 06 07 19 28 29
01 06 08 09 21 26
01 06 08 12 17 31
01 06 08 21 25 29
01 06 09 13 17 25
01 06 10 11 18 30
01 06 10 19 23 24
01 06 11 17 29 30
01 06 11 21 23 28
01 06 12 14 25 30
01 06 14 19 20 32
01 06 15 22 27 32
01 06 16 22 30 32
01 06 20 26 29 31
01 07 08 09 10 11
01 07 08 10 15 19
01 07 08 12 25 30
01 07 09 13 28 31
01 07 09 20 24 30
01 07 10 16 23 25
01 07 11 15 19 29
01 07 11 17 21 27
01 07 12 17 28 32
01 07 13 16 19 30
01 07 14 16 22 31
01 07 16 19 26 32
01 07 17 20 22 25
01 07 18 20 26 29
01 08 09 16 22 29
01 08 10 11 25 32
01 08 13 18 20 27
01 08 14 15 22 31
01 08 14 20 23 30
01 08 16 21 24 27
01 08 24 27 28 32
01 09 10 12 17 27
01 09 11 14 23 26
01 09 11 18 28 30
01 09 12 19 20 21
01 09 13 14 25 29
01 09 19 22 29 32
01 10 12 18 23 32
01 10 13 16 20 28
01 10 13 19 22 30
01 10 14 16 29 31
01 10 15 18 21 26
